일시,구군,추정_일강수량(mm)
2016-04-04,중구,1.9626537667913133
2016-04-05,군위군,0.0
2016-04-05,남구,0.0
2016-04-05,달서구,0.0
2016-04-05,달성군,0.0
2016-04-05,동구,0.0
2016-04-05,북구,0.0
2016-04-05,서구,0.0
2016-04-05,수성구,0.0
2016-04-05,중구,0.0
2016-04-06,군위군,18.15349595391322
2016-04-06,남구,17.915143471040416
2016-04-06,달서구,19.247566540169103
2016-04-06,달성군,18.05326478153143
2016-04-06,동구,15.963279464811702
2016-04-06,북구,19.710896045584306
2016-04-06,서구,18.92766660062493
2016-04-06,수성구,16.529090514953317
2016-04-06,중구,17.15975248421256
2016-04-07,군위군,29.22484554108905
2016-04-07,남구,29.188908922065647
2016-04-07,달서구,28.64187003588224
2016-04-07,달성군,27.339888087485786
2016-04-07,동구,28.353769940156504
2016-04-07,북구,31.718944755935887
2016-04-07,서구,29.801289186692053
2016-04-07,수성구,28.689887306043588
2016-04-07,중구,29.19938882865375
2016-04-08,군위군,0.0
2016-04-08,남구,0.0
2016-04-08,달서구,0.0
2016-04-08,달성군,0.0
2016-04-08,동구,0.0
2016-04-08,북구,0.0
2016-04-08,서구,0.0
2016-04-08,수성구,0.0
2016-04-08,중구,0.0
2016-04-09,군위군,0.0
2016-04-09,남구,0.0
2016-04-09,달서구,0.0
2016-04-09,달성군,0.0
2016-04-09,동구,0.0
2016-04-09,북구,0.0
2016-04-09,서구,0.0
2016-04-09,수성구,0.0
2016-04-09,중구,0.0
2016-04-10,군위군,0.0
2016-04-10,남구,0.0
2016-04-10,달서구,0.0
2016-04-10,달성군,0.0
2016-04-10,동구,0.0
2016-04-10,북구,0.0
2016-04-10,서구,0.0
2016-04-10,수성구,0.0
2016-04-10,중구,0.0
